genus,2013-06-28,2013-07-03,2013-07-13,2013-07-20,2013-07-26,2013-08-02,2013-08-10,2013-08-15,2013-08-24,2013-09-01,2013-09-08,2013-09-14,2013-09-22
o__Apiales_f__Apiaceae,0,0,0,0,0,0.064560211,0,0.013285973,0.034390804,0,0,0.028731292,0
o__Apiales_f__Araliaceae,0,0,0,0,0,0,0,0.070807889,0,0,0,0.001602511,0
o__Asparagales_f__Amaryllidaceae,0.006768499,0,0,0,0,0,0,0,0,0.01102255,0,0.032296756,0
o__Asparagales_f__Asparagaceae,0,0,0,0,0,0.012858016,0,0.007088617,0,0,0,0.004269687,0.005226111
o__Asterales_f__Asteraceae,0.025205311,0.087709659,0.011814081,0.0950296,0.133461824,0.253576936,0.190916656,0.318727721,0.191539204,0.368385344,0.601369323,0.624825581,0.594792317
o__Brassicales_f__Brassicaceae,0,0,0.005481939,0.022658944,0.012368275,0,0,0.004882358,0,0,0,0,0
o__Brassicales_f__Cleomaceae,0,0,0,0,0,0,0,0,0,0,0,0.037311152,0
o__Caryophyllales_f__Amaranthaceae,0,0,0,0,0,0,0,0,0,0,0,0,0.003101719
o__Caryophyllales_f__Chenopodiaceae,0,0,0,0,0,0,0,0.009632339,0.008963923,0,0,0,0
o__Caryophyllales_f__Polygonaceae,0,0,0.002016744,0,0,0.004097055,0,0,0,0,0.017706648,0.020341089,0.0112939
o__Caryophyllales_f__Portulacaceae,0,0.003152901,0,0,0,0,0,0,0,0,0,0.00334549,0
o__Cornales_f__Hydrangeaceae,0,0,0.027226042,0,0.048005163,0,0.040286934,0.050317806,0,0.022671461,0,0,0
o__Dipsacales_f__Caprifoliaceae,0,0,0.052601669,0,0.05749249,0.001805007,0.016210472,0,0,0.001086519,0.0027977,0,0
o__Fabales_f__Fabaceae,0.535106701,0.648292569,0.656910988,0.670445699,0.675341112,0.285610264,0.347424618,0.287763677,0.37144841,0.373594564,0.296321644,0.235804801,0.371075387
o__Fagales_f__Betulaceae,0,0,0,0,0,0,0,0,0,0.001197103,0,0,0
o__Lamiales_f__Bignoniaceae,0,0.01748296,0.167023706,0.012199566,0.006164087,0.007679532,0,0,0,0.003062807,0,0,0
o__Lamiales_f__Lamiaceae,0,0.002719802,0.005225038,0.004485827,0,0,0,0,0,0,0.01540614,0,0
o__Lamiales_f__Oleaceae,0.205022172,0.049864382,0.005050972,0.002090646,0,0,0,0.001246912,0,0,0,0,0
o__Lamiales_f__Plantaginaceae,0.067231897,0.037066587,0.015842874,0.108167773,0.011954593,0.193568978,0.052697904,0.063062551,0.183513202,0.045939345,0.001119046,0.00181652,0
o__Lamiales_f__Scrophulariaceae,0,0.010687384,0.022132204,0,0.019728296,0.102206456,0.033564253,0.004322325,0,0.001512087,0,0,0
o__Malpighiales_f__Hypericaceae,0.029476213,0.017483407,0,0,0,0,0,0,0,0,0,0,0
o__Myrtales_f__Lythraceae,0,0,0,0,0.00619492,0,0.045763047,0.010173893,0.004864205,0,0,0,0
o__Myrtales_f__Onagraceae,0,0,0,0,0,0.012681171,0,0.014869536,0.003969724,0.069060142,0,0,0
o__Poales_f__Poaceae,0,0,0,0.058777571,0,0.020984251,0,0,0,0,0,0,0
o__Ranunculales_f__Ranunculaceae,0,0,0,0,0,0,0.021241764,0,0,0.001199287,0,0,0
o__Rosales_f__Rosaceae,0.042918475,0.001489972,0.00719118,0.003887391,0.021431528,0.031476377,0,0.006163031,0.002060896,0.005796552,0.010398526,0,0.014510566
o__Rosales_f__Ulmaceae,0,0,0,0,0,0,0.251894352,0.137655373,0.19924963,0.043574083,0.043757975,0,0
o__Sapindales_f__Anacardiaceae,0,0,0,0,0,0,0,0,0,0.041071748,0,0,0
o__Sapindales_f__Sapindaceae,0.078333943,0.02263298,0.002506962,0,0,0,0,0,0,0,0,0,0
o__Saxifragales_f__Crassulaceae,0,0,0,0,0,0,0,0,0,0.003965555,0,0.001647496,0
o__Solanales_f__Solanaceae,0,0,0,0.020288528,0.007857713,0.008895747,0,0,0,0.006860853,0.010180375,0.008007626,0
o__Vitales_f__Vitaceae,0.00993679,0.101417398,0.018975601,0.001968455,0,0,0,0,0,0,0,0,0
