genus,2013-06-28,2013-07-05,2013-07-13,2013-07-20,2013-07-26,2013-08-02,2013-08-10,2013-08-16,2013-08-24,2013-09-01,2013-09-08,2013-09-13,2013-09-22
o__Apiales_f__Apiaceae,0.184580664,0.132278829,0,0,0.004549248,0.027719663,0.043512369,0,0,0,0,0,0
o__Apiales_f__Araliaceae,0,0,0,0,0,0,0,0,0.001476267,0,0,0,0
o__Asparagales_f__Asphodelaceae,0,0.004962592,0,0,0,0,0,0,0,0,0,0,0
o__Asterales_f__Asteraceae,0.011648821,0.014664806,0.005968646,0.018613717,0.012751317,0.005655086,0.021190786,0.114373719,0.454418972,0.246843267,0.538383785,0.346137764,0.266623366
o__Brassicales_f__Brassicaceae,0.005603856,0.277945174,0.102201651,0.199171608,0.010212917,0.004213775,0,0,0,0.001382826,0,0,0.02845785
o__Caryophyllales_f__Chenopodiaceae,0,0,0,0,0,0,0,0,0,0,0.02512918,0.201408968,0
o__Caryophyllales_f__Polygonaceae,0,0,0,0,0,0,0,0,0.001699712,0.06953666,0.084854941,0.073603483,0.158921825
o__Cornales_f__Cornaceae,0.00466988,0,0,0,0,0,0,0,0,0,0,0,0
o__Cornales_f__Hydrangeaceae,0,0,0,0,0,0,0,0,0.001157333,0,0,0,0
o__Cucurbitales_f__Cucurbitaceae,0,0,0,0,0,0,0,0,0.004590525,0,0.002159622,0,0
o__Dipsacales_f__Adoxaceae,0.030974612,0.03387333,0,0,0,0,0,0,0,0,0,0,0
o__Ericales_f__Balsaminaceae,0,0,0,0,0,0,0,0,0,0,0.002456059,0,0
o__Fabales_f__Fabaceae,0.640396168,0.386139783,0.786475133,0.778534714,0.929124381,0.943872666,0.90063268,0.860299132,0.358883936,0.652002328,0.277316214,0.318746868,0.481598567
o__Gentianales_f__Apocynaceae,0,0,0.002166369,0,0,0,0,0,0,0,0,0,0
o__Lamiales_f__Acanthaceae,0.013653916,0,0,0,0,0,0,0,0,0,0,0,0
o__Lamiales_f__Lamiaceae,0.002589523,0.003024475,0,0,0,0,0,0,0,0,0,0,0
o__Lamiales_f__Plantaginaceae,0,0.110949985,0.013372179,0,0.014333372,0.018538811,0.034664164,0.024757414,0.173055739,0.029121825,0.021695115,0,0
o__Malvales_f__Malvaceae,0,0,0,0,0,0,0,0,0,0.001113095,0.016853164,0.060102917,0.064398392
o__Poales_f__Poaceae,0,0.012581094,0,0.002248865,0.029028765,0,0,0,0.001476585,0,0.03038975,0,0
o__Rosales_f__Moraceae,0,0.008308144,0.020592229,0,0,0,0,0,0,0,0,0,0
o__Rosales_f__Rosaceae,0.085045383,0.012420255,0.001339242,0,0,0,0,0,0,0,0,0,0
o__Rosales_f__Ulmaceae,0,0,0,0,0,0,0,0,0.00213891,0,0,0,0
o__Solanales_f__Convolvulaceae,0,0.002851532,0,0,0,0,0,0,0.001102022,0,0,0,0
o__Vitales_f__Vitaceae,0.019979508,0,0.067884552,0.001431096,0,0,0,0,0,0,0,0,0
