genus,2013-06-28,2013-07-05,2013-07-13,2013-07-21,2013-07-26,2013-08-02,2013-08-10,2013-08-15,2013-08-24,2013-09-01,2013-09-08,2013-09-14,2013-09-22
o__Alismatales_f__Butomaceae,0,0,0,0,0,0,0,0,0,0.003265832,0,0,0
o__Apiales_f__Araliaceae,0,0,0,0,0,0.012094365,0,0.007220668,0.140316433,0.150539411,0.228857688,0.671655236,0.193874532
o__Asparagales_f__Amaryllidaceae,0,0,0,0,0,0,0,0,0,0,0.015902212,0,0
o__Asparagales_f__Asparagaceae,0,0,0,0,0,0,0,0,0,0,0.00141578,0,0
o__Asparagales_f__Asphodelaceae,0,0,0.00241533,0,0,0,0,0,0,0,0,0,0
o__Asterales_f__Asteraceae,0.019968798,0.01344629,0.023082059,0.036792833,0.036164044,0.046341542,0.100892487,0.17599572,0.145244367,0.277934261,0.183198146,0.190711833,0.477010647
o__Brassicales_f__Brassicaceae,0,0,0,0,0,0.002207196,0.004589778,0.008769533,0.005122458,0,0,0,0
o__Caryophyllales_f__Chenopodiaceae,0,0,0,0,0,0,0,0,0,0.007520979,0,0,0
o__Caryophyllales_f__Phytolaccaceae,0.015917166,0,0.027788769,0.01606913,0.021484748,0.006262509,0.005189015,0.005180695,0.002517547,0.009839511,0,0,0
o__Caryophyllales_f__Polygonaceae,0,0,0,0,0,0,0,0,0,0,0.005799773,0,0
o__Cornales_f__Hydrangeaceae,0.002034071,0,0,0,0.009297007,0.019076495,0.027488834,0.089960563,0.091145606,0,0,0,0
o__Dipsacales_f__Adoxaceae,0,0,0,0,0,0,0,0,0.004142982,0,0,0,0
o__Dipsacales_f__Caprifoliaceae,0,0,0,0,0.002288776,0.004850433,0.00487043,0,0,0.012250073,0,0.002494166,0
o__Ericales_f__Balsaminaceae,0,0,0,0,0,0,0,0,0,0.011357722,0,0,0
o__Fabales_f__Fabaceae,0.732547691,0.921394496,0.753322867,0.867791519,0.822308334,0.869136674,0.441880833,0.332598374,0.272398029,0.236333907,0.378054734,0.125509992,0.317803768
o__Gentianales_f__Gentianaceae,0,0,0,0,0,0,0.002700818,0,0,0,0,0,0
o__Lamiales_f__Acanthaceae,0.018383055,0,0,0,0,0,0,0,0,0,0,0,0
o__Lamiales_f__Bignoniaceae,0,0.001500128,0,0,0,0,0,0,0.001674908,0,0,0,0
o__Lamiales_f__Lamiaceae,0.001561029,0.008202773,0.002149342,0.00852185,0,0,0,0.001104779,0,0,0,0,0
o__Lamiales_f__Oleaceae,0,0,0,0,0,0,0.001208726,0.001748017,0,0,0,0,0
o__Lamiales_f__Plantaginaceae,0.005429787,0,0.009530487,0.00283327,0.021224535,0.019437792,0.174376154,0.217325782,0.02233636,0.014929776,0.008745492,0,0.002089815
o__Lamiales_f__Scrophulariaceae,0,0,0,0,0,0,0.001106916,0.001654736,0.00894809,0,0.004675825,0,0
o__Magnoliales_f__Magnoliaceae,0,0,0.070394415,0,0,0,0,0,0,0,0,0,0
o__Malpighiales_f__Hypericaceae,0,0.009158677,0.081768429,0.048661962,0.006094073,0.005727762,0.003971527,0,0,0,0,0,0
o__Myrtales_f__Lythraceae,0,0.004371434,0,0,0.073346793,0.001780465,0.209824844,0.040561166,0.030309185,0,0,0,0
o__Myrtales_f__Onagraceae,0,0,0,0,0,0,0,0.001718015,0,0,0,0,0
o__Poales_f__Poaceae,0,0,0,0,0,0,0,0,0,0.005123589,0,0,0
o__Ranunculales_f__Ranunculaceae,0,0,0,0,0,0.00531235,0,0.015833294,0.011376283,0.003225067,0,0,0.003726614
o__Rosales_f__Moraceae,0,0,0,0,0,0,0,0.001699106,0.001902909,0,0,0,0
o__Rosales_f__Rosaceae,0,0.001326359,0.001057119,0,0.005544314,0.002167784,0.010876877,0.009176265,0.008740315,0.004210963,0,0,0.004560583
o__Rosales_f__Ulmaceae,0,0,0,0,0,0,0.00924291,0.087633329,0.252067752,0.169094965,0,0,0
o__Sapindales_f__Anacardiaceae,0,0,0,0,0,0,0,0,0,0.094373945,0.170040087,0.009628773,0
o__Sapindales_f__Sapindaceae,0.156294249,0.006947962,0,0,0,0,0,0,0,0,0,0,0
o__Saxifragales_f__Saxifragaceae,0,0.011407755,0,0,0,0,0,0,0,0,0,0,0
o__Solanales_f__Convolvulaceae,0.002029641,0,0,0,0.002247376,0.005604632,0,0,0,0,0,0,0
o__Solanales_f__Solanaceae,0,0,0,0.001109799,0,0,0,0,0.001040651,0,0.002432667,0,0
o__Vitales_f__Vitaceae,0.045834512,0.021277495,0.028491182,0.018219639,0,0,0,0,0,0,0,0,0
